team_id,team_name,mlb,nba,nfl,nhl,west,southwest,midwest,northeast,southeast,win_percentage,championships_won,total_retail_sales_per_capita,population,average_household_income,median_age,average_household_size,new_stadium,stadium_coast_millions,white_population_percentage,male_percentage_population
mil,Milwaukee Bucks,0,1,0,0,0,0,1,0,0,0.566,1,,577225,45318,31.4,2.45,1,524,0.399,0.485
mint,Minnesota Timberwolves,0,1,0,0,0,0,1,0,0,0.42,0,13550,429985,70099,32.3,2.24,0,0,0.601,0.507
nop,New Orleans Pelicans,0,1,0,0,0,0,0,0,1,0.455,0,8930,383998,45594,37.2,2.37,0,0,0.306,0.469
nyk,New York Knicks,0,1,0,0,0,0,0,1,0,0.395,0,13785,8804194,70663,36.9,2.63,0,0,0.341,0.47
okc,Oklahoma City Thunder,0,1,0,0,0,1,0,0,0,0.541,0,17110,681084,59679,34.4,2.49,0,0,0.643,0.496
orl,Orlando Magic,0,1,0,0,0,0,0,0,1,0.369,0,33339,307683,58968,33.9,2.53,0,0,0.534,0.495
phis,Philadelphia 76ers,0,1,0,0,0,0,0,1,0,0.474,0,9466,1603799,52649,34.6,2.4,0,0,0.338,0.464
phx,Phoenix Suns,0,1,0,0,0,1,0,0,0,0.463,0,16565,1608190,64927,33.9,2.71,0,0,0.23,0.498
por,Portland Trail Blazers,0,1,0,0,1,0,0,0,0,0.523,0,15121,652518,78476,37.5,2.26,0,0,0.738,0.495
sac,Sacramento Kings,0,1,0,0,1,0,0,0,0,0.415,0,10598,524924,71074,34.9,2.63,1,558.2,0.434,0.492
sas,San Antonio Spurs,0,1,0,0,0,1,0,0,0,0.563,1,16088,1434367,55084,33.8,2.64,0,0,0.248,0.483
torr,Toronto Raptors,0,1,0,0,0,0,0,1,0,0.613,1,,2794356,84000,39.6,2.4,0,0,0.502,0.48
uta,Utah Jazz,0,1,0,0,1,0,0,0,0,0.546,0,25826,199711,65880,32.5,2.32,0,0,0.725,0.506
was,Washington Wizards,0,1,0,0,0,0,0,1,0,0.474,0,7939,689546,93547,34.1,2.08,0,0,0.462,0.474
sff,San Francisco 49ers,0,0,1,0,1,0,0,0,0,0.494,0,22066,873959,126187,38.3,2.34,1,1300,0.508,0.507
chib,Chicago Bears,0,0,1,0,0,0,1,0,0,0.377,0,8601,2746352,65781,34.8,2.41,0,0,0.361,0.485
cinb,Cincinnati Bengals,0,0,1,0,0,0,1,0,0,0.494,0,12945,309561,45235,32.4,2.11,0,0,0.506,0.495
buf,Buffalo Bills,0,0,1,0,0,0,0,1,0,0.58,0,6589,278301,42186,33.4,2.26,0,0,0.478,0.481
denb,Denver Broncos,0,0,1,0,1,0,0,0,0,0.481,1,13078,715538,78177,34.6,2.21,0,0,0.54,0.501
clv,Cleveland Browns,0,0,1,0,0,0,1,0,0,0.355,0,6453,372632,33678,36.3,2.15,0,0,0.34,0.495
tb,Tampa Bay Buccaneers,0,0,1,0,0,0,0,0,1,0.438,1,20030,384661,59893,35.9,2.41,0,0,0.589,0.495
arz,Arizona Cardinals,0,0,1,0,0,1,0,0,0,0.466,0,21194,248374,60499,33.8,2.88,0,0,0.733,0.493
kcc,Kansas City Chiefs,0,0,1,0,0,0,1,0,0,0.716,2,18679,507971,60042,35.4,2.31,0,0,0.597,0.483
indc,Indianapolis Colts,0,0,1,0,0,0,1,0,0,0.509,0,16604,887661,54321,34.2,2.46,0,0,0.691,0.483
dall,Dallas Cowboys,0,0,1,0,0,1,0,0,0,0.593,0,15245,1304317,58231,32.9,2.49,0,0,0.538,0.497
miad,Miami Dolphins,0,0,1,0,0,0,0,0,1,0.5,0,22444,442260,47860,40.1,2.38,0,0,0.5566,0.504
phie,Philadelphia Eagles,0,0,1,0,0,0,0,1,0,0.596,1,9466,1603799,52649,34.6,2.4,0,0,0.338,0.464
atlf,Atlanta Falcons,0,0,1,0,0,0,0,0,1,0.457,0,15070,498722,69164,33.2,2.06,1,1600,0.391,0.496
nyg,New York Giants,0,0,1,0,0,0,0,1,0,0.377,0,13785,8804194,70663,36.9,2.63,0,0,0.341,0.47
jax,Jacksonville Jaguars,0,0,1,0,0,0,0,0,1,0.34,0,18701,949616,58263,35.9,2.5,0,0,0.519,0.486
nyj,New York Jets,0,0,1,0,0,0,0,1,0,0.34,0,13785,8804194,70663,36.9,2.63,0,0,0.341,0.47
detl,Detroit Lions,0,0,1,0,0,0,1,0,0,0.444,0,5281,639115,34762,34.6,2.53,0,0,0.129,0.471
gb,Green Bay Packers,0,0,1,0,0,0,1,0,0,0.62,0,15267,107363,55221,35.1,2.36,0,0,0.744,0.493
car,Carolina Panthers,0,0,1,0,0,0,0,0,1,0.454,0,15992,874607,68367,34.4,2.47,0,0,0.4472,0.467
ne,New England Patriots,0,0,1,0,0,0,0,1,0,0.648,3,24311,18624,95410,41.6,2.53,0,0,0.714,0.439
lv,Las Vegas Raiders,0,0,1,0,1,0,0,0,0,0.417,0,16937,64866,61356,37.7,2.65,1,1900,0.555,0.508
lac,Los Angeles Chargers,0,0,1,0,1,0,0,0,0,0.484,0,12771,3898767,69778,35.9,2.75,1,5500,0.289,0.498
lar,Los Angeles Rams,0,0,1,0,1,0,0,0,0,0.519,1,12771,3898767,69778,35.9,2.75,1,5500,0.289,0.498
blt,Baltimore Ravens,0,0,1,0,0,0,0,1,0,0.593,0,11746,585693,54124,35.5,2.32,0,0,0.273,0.495
wasc,Washington Commanders,0,0,1,0,0,0,0,0,1,0.399,0,7939,689546,93547,34.1,2.08,0,0,0.462,0.474
no,New Orleans Saints,0,0,1,0,0,0,0,0,1,0.574,0,8930,383998,45594,37.2,2.37,0,0,0.306,0.469
seas,Seattle Seahawks,0,0,1,0,1,0,0,0,0,0.614,1,82840,737018,105391,35.2,2.08,0,0,0.622,0.507
pits,Pittsburgh Steelers,0,0,1,0,0,0,0,1,0,0.636,0,16963,302958,54306,33.4,2.04,0,0,0.654,0.489
hout,Houston Texans,0,0,1,0,0,1,0,0,0,0.429,0,22952,2301572,56019,33.3,2.57,0,0,0.468,0.496
ten,Tennessee Titans,0,0,1,0,0,0,0,0,1,0.475,0,16394,689454,65565,34.5,2.34,0,0,0.55,0.485
min,Minnesota Vikings,0,0,1,0,0,0,1,0,0,0.583,0,13550,429985,70099,32.3,2.24,1,1100,0.601,0.507
ana,Anaheim Ducks,0,0,0,1,1,0,0,0,0,0.474,0,12140,"346,825",81806,34.8,3.32,0,0,0.232,0.495
ari,Arizona Coyotes,0,0,0,1,0,1,0,0,0,0.384,0,16565,1608190,64927,33.9,2.71,1,134,0.23,0.498
bosb,Boston Bruins,0,0,0,1,0,0,0,1,0,0.605,0,17552,675632,81744,32.4,2.3,0,0,0.44,0.481
bufs,Buffalo Sabres,0,0,0,1,0,0,0,1,0,0.377,0,6589,278301,42186,33.4,2.26,0,0,0.478,0.481
cgy,Calgary Flames,0,0,0,1,1,0,0,0,0,0.509,0,,1336000,99715,38,2.6,0,0,0.673,0.495
carh,Carolina Hurricanes,0,0,0,1,0,0,0,0,1,0.518,0,15992,874607,68367,34.4,2.47,0,0,0.4472,0.467
chib,Chicago Blackhawks,0,0,0,1,0,0,1,0,0,0.463,1,8601,2746352,65781,34.8,2.41,0,0,0.361,0.485
cola,Colorado Avalanche,0,0,0,1,1,0,0,0,0,0.536,1,13078,715538,78177,34.6,2.21,0,0,0.54,0.501
cbs,Colombus Blue Jackets,0,0,0,1,0,0,1,0,0,0.476,0,17709,905839,58575,32.4,2.32,0,0,0.562,0.486
dals,Dallas Stars,0,0,0,1,0,1,0,0,0,0.519,0,15245,1304317,58231,32.9,2.49,0,0,0.538,0.497
detr,Detroit Red Wings,0,0,0,1,0,0,1,0,0,0.413,0,5281,639115,34762,34.6,2.53,1,862.9,0.129,0.471
edm,Edmonton Oilers,0,0,0,1,1,0,0,0,0,0.479,0,,981280,84000,35.3,2.5,1,483.5,0.647,0.498
fla,Florida Panthers,0,0,0,1,0,0,0,0,1,0.523,0,30475,97309,61830,40.9,2.63,0,0,0.241,0.472
lak,Los Angeles Kings,0,0,0,1,1,0,0,0,0,0.499,1,12771,3898767,69778,35.9,2.75,0,0,0.289,0.498
